"time","bed_id","sensor_code","value","quality"
2026-07-29 14:28:46.321 +0900,bed-01,FSR,512.0,100
2026-08-07 15:55:47.000 +0900,bed-01,FSR,80.0,100
2026-08-07 15:55:48.000 +0900,bed-01,FSR,2033.0,100
2026-08-07 15:55:49.000 +0900,bed-01,FSR,2029.0,100
2026-08-07 15:55:50.000 +0900,bed-01,FSR,177.0,100
2026-08-07 15:55:51.000 +0900,bed-01,FSR,3715.0,100
2026-08-07 15:55:52.000 +0900,bed-01,FSR,1318.0,100
2026-08-07 15:55:53.000 +0900,bed-01,FSR,2435.0,100
2026-08-07 15:55:54.000 +0900,bed-01,FSR,2446.0,100
2026-08-07 15:55:55.000 +0900,bed-01,FSR,3085.0,100
2026-08-07 15:55:56.000 +0900,bed-01,FSR,2437.0,100
2026-08-07 15:55:57.000 +0900,bed-01,FSR,2120.0,100
2026-08-07 15:55:58.000 +0900,bed-01,FSR,408.0,100
2026-08-07 15:55:59.000 +0900,bed-01,FSR,462.0,100
2026-08-07 15:56:00.000 +0900,bed-01,FSR,3295.0,100
2026-08-07 15:56:01.000 +0900,bed-01,FSR,2296.0,100
2026-08-07 15:56:02.000 +0900,bed-01,FSR,294.0,100
2026-08-07 15:56:03.000 +0900,bed-01,FSR,2608.0,100
2026-08-07 15:56:04.000 +0900,bed-01,FSR,1074.0,100
2026-08-07 15:56:05.000 +0900,bed-01,FSR,3603.0,100
2026-08-07 15:56:06.000 +0900,bed-01,FSR,992.0,100
2026-08-07 15:56:07.000 +0900,bed-01,FSR,1047.0,100
2026-08-07 15:56:08.000 +0900,bed-01,FSR,3392.0,100
2026-08-07 15:56:09.000 +0900,bed-01,FSR,122.0,100
2026-08-07 15:56:10.000 +0900,bed-01,FSR,3391.0,100
2026-08-07 15:56:11.000 +0900,bed-01,FSR,734.0,100
2026-08-07 15:56:12.000 +0900,bed-01,FSR,3257.0,100
2026-08-07 15:56:13.000 +0900,bed-01,FSR,3472.0,100
2026-08-07 15:56:14.000 +0900,bed-01,FSR,2276.0,100
2026-08-07 15:56:15.000 +0900,bed-01,FSR,787.0,100
2026-08-07 15:56:16.000 +0900,bed-01,FSR,1972.0,100
2026-08-07 15:56:17.000 +0900,bed-01,FSR,3717.0,100
2026-08-07 15:56:18.000 +0900,bed-01,FSR,2879.0,100
2026-08-07 15:56:19.000 +0900,bed-01,FSR,490.0,100
2026-08-07 15:56:20.000 +0900,bed-01,FSR,2214.0,100
2026-08-07 15:56:22.000 +0900,bed-01,FSR,1057.0,100
2026-08-07 15:56:23.000 +0900,bed-01,FSR,4095.0,100
2026-08-07 15:56:24.000 +0900,bed-01,FSR,1614.0,100
2026-08-07 15:56:25.000 +0900,bed-01,FSR,3264.0,100
2026-08-07 15:56:26.000 +0900,bed-01,FSR,2525.0,100
2026-08-07 15:56:27.000 +0900,bed-01,FSR,1815.0,100
2026-08-07 15:56:28.000 +0900,bed-01,FSR,3026.0,100
2026-08-07 15:56:29.000 +0900,bed-01,FSR,1151.0,100
2026-08-07 15:56:30.000 +0900,bed-01,FSR,1771.0,100
2026-08-07 15:56:31.000 +0900,bed-01,FSR,2565.0,100
2026-08-07 15:56:32.000 +0900,bed-01,FSR,1372.0,100
2026-08-07 15:56:33.000 +0900,bed-01,FSR,704.0,100
2026-08-07 15:56:34.000 +0900,bed-01,FSR,4001.0,100
2026-08-07 15:56:35.000 +0900,bed-01,FSR,3879.0,100
2026-08-07 15:56:36.000 +0900,bed-01,FSR,3120.0,100
2026-08-07 15:56:37.000 +0900,bed-01,FSR,2390.0,100
2026-08-07 15:56:38.000 +0900,bed-01,FSR,540.0,100
2026-08-07 15:56:39.000 +0900,bed-01,FSR,2092.0,100
