"time","bed_id","sensor_code","value","quality"
2026-09-05 18:25:30.036 +0900,bed-01,FSR1,979.0,100
2026-09-05 18:25:30.036 +0900,bed-01,FSR2,988.0,100
2026-09-05 18:25:30.036 +0900,bed-01,FSR3,1019.0,100
2026-09-05 18:25:30.036 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:30.036 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:30.036 +0900,bed-01,BREATH,21.0,100
2026-09-05 18:25:30.036 +0900,bed-01,HEART,0.0,100
2026-09-05 18:25:30.036 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:30.036 +0900,bed-01,ACCEL_X,1216.0,100
2026-09-05 18:25:30.036 +0900,bed-01,ACCEL_Y,-312.0,100
2026-09-05 18:25:30.036 +0900,bed-01,ACCEL_Z,17996.0,100
2026-09-05 18:25:29.021 +0900,bed-01,FSR0,989.0,100
2026-09-05 18:25:29.021 +0900,bed-01,FSR1,1011.0,100
2026-09-05 18:25:29.021 +0900,bed-01,FSR2,1003.0,100
2026-09-05 18:25:29.021 +0900,bed-01,FSR3,1007.0,100
2026-09-05 18:25:29.021 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:29.021 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:29.021 +0900,bed-01,BREATH,21.0,100
2026-09-05 18:25:29.021 +0900,bed-01,HEART,70.0,100
2026-09-05 18:25:29.021 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:29.021 +0900,bed-01,ACCEL_X,1244.0,100
2026-09-05 18:25:29.021 +0900,bed-01,ACCEL_Y,-328.0,100
2026-09-05 18:25:29.021 +0900,bed-01,ACCEL_Z,17980.0,100
2026-09-05 18:25:28.026 +0900,bed-01,FSR0,989.0,100
2026-09-05 18:25:28.026 +0900,bed-01,FSR1,996.0,100
2026-09-05 18:25:28.026 +0900,bed-01,FSR2,997.0,100
2026-09-05 18:25:28.026 +0900,bed-01,FSR3,982.0,100
2026-09-05 18:25:28.026 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:28.026 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:28.026 +0900,bed-01,BREATH,21.0,100
2026-09-05 18:25:28.026 +0900,bed-01,HEART,70.0,100
2026-09-05 18:25:28.026 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:28.026 +0900,bed-01,ACCEL_X,1268.0,100
2026-09-05 18:25:28.026 +0900,bed-01,ACCEL_Y,-296.0,100
2026-09-05 18:25:28.026 +0900,bed-01,ACCEL_Z,18124.0,100
2026-09-05 18:25:27.016 +0900,bed-01,FSR0,1031.0,100
2026-09-05 18:25:27.016 +0900,bed-01,FSR1,991.0,100
2026-09-05 18:25:27.016 +0900,bed-01,FSR2,983.0,100
2026-09-05 18:25:27.016 +0900,bed-01,FSR3,1018.0,100
2026-09-05 18:25:27.016 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:27.016 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:27.016 +0900,bed-01,BREATH,21.0,100
2026-09-05 18:25:27.016 +0900,bed-01,HEART,70.0,100
2026-09-05 18:25:27.016 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:27.016 +0900,bed-01,ACCEL_X,1192.0,100
2026-09-05 18:25:27.016 +0900,bed-01,ACCEL_Y,-372.0,100
2026-09-05 18:25:27.016 +0900,bed-01,ACCEL_Z,18132.0,100
2026-09-05 18:25:26.017 +0900,bed-01,FSR0,1004.0,100
2026-09-05 18:25:26.017 +0900,bed-01,FSR1,997.0,100
2026-09-05 18:25:26.017 +0900,bed-01,FSR2,984.0,100
2026-09-05 18:25:26.017 +0900,bed-01,FSR3,995.0,100
2026-09-05 18:25:26.017 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:26.017 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:26.017 +0900,bed-01,BREATH,21.0,100
2026-09-05 18:25:26.017 +0900,bed-01,HEART,74.0,100
2026-09-05 18:25:26.017 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:26.017 +0900,bed-01,ACCEL_X,1252.0,100
2026-09-05 18:25:26.017 +0900,bed-01,ACCEL_Y,-196.0,100
2026-09-05 18:25:26.017 +0900,bed-01,ACCEL_Z,18120.0,100
2026-09-05 18:25:24.999 +0900,bed-01,FSR0,1045.0,100
2026-09-05 18:25:24.999 +0900,bed-01,FSR1,1013.0,100
2026-09-05 18:25:24.999 +0900,bed-01,FSR2,980.0,100
2026-09-05 18:25:24.999 +0900,bed-01,FSR3,987.0,100
2026-09-05 18:25:24.999 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:24.999 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:24.999 +0900,bed-01,BREATH,21.0,100
2026-09-05 18:25:24.999 +0900,bed-01,HEART,74.0,100
2026-09-05 18:25:24.999 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:24.999 +0900,bed-01,ACCEL_X,1244.0,100
2026-09-05 18:25:24.999 +0900,bed-01,ACCEL_Y,-252.0,100
2026-09-05 18:25:24.999 +0900,bed-01,ACCEL_Z,18064.0,100
2026-09-05 18:25:23.999 +0900,bed-01,FSR0,1049.0,100
2026-09-05 18:25:23.999 +0900,bed-01,FSR1,979.0,100
2026-09-05 18:25:23.999 +0900,bed-01,FSR2,994.0,100
2026-09-05 18:25:23.999 +0900,bed-01,FSR3,1035.0,100
2026-09-05 18:25:23.999 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:23.999 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:23.999 +0900,bed-01,BREATH,22.0,100
2026-09-05 18:25:23.999 +0900,bed-01,HEART,74.0,100
2026-09-05 18:25:23.999 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:23.999 +0900,bed-01,ACCEL_X,1272.0,100
2026-09-05 18:25:23.999 +0900,bed-01,ACCEL_Y,-300.0,100
2026-09-05 18:25:23.999 +0900,bed-01,ACCEL_Z,18080.0,100
2026-09-05 18:25:22.995 +0900,bed-01,FSR0,1047.0,100
2026-09-05 18:25:22.995 +0900,bed-01,FSR1,993.0,100
2026-09-05 18:25:22.995 +0900,bed-01,FSR2,1000.0,100
2026-09-05 18:25:22.995 +0900,bed-01,FSR3,1008.0,100
2026-09-05 18:25:22.995 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:22.995 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:22.995 +0900,bed-01,BREATH,22.0,100
2026-09-05 18:25:22.995 +0900,bed-01,HEART,77.0,100
2026-09-05 18:25:22.995 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:22.995 +0900,bed-01,ACCEL_X,1228.0,100
2026-09-05 18:25:22.995 +0900,bed-01,ACCEL_Y,-340.0,100
2026-09-05 18:25:22.995 +0900,bed-01,ACCEL_Z,18108.0,100
2026-09-05 18:25:22.012 +0900,bed-01,FSR0,1032.0,100
2026-09-05 18:25:22.012 +0900,bed-01,FSR1,1007.0,100
2026-09-05 18:25:22.012 +0900,bed-01,FSR2,999.0,100
2026-09-05 18:25:22.012 +0900,bed-01,FSR3,974.0,100
2026-09-05 18:25:22.012 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:22.012 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:22.012 +0900,bed-01,BREATH,22.0,100
2026-09-05 18:25:22.012 +0900,bed-01,HEART,77.0,100
2026-09-05 18:25:22.012 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:22.012 +0900,bed-01,ACCEL_X,1276.0,100
2026-09-05 18:25:22.012 +0900,bed-01,ACCEL_Y,-312.0,100
2026-09-05 18:25:22.012 +0900,bed-01,ACCEL_Z,18072.0,100
2026-09-05 18:25:20.982 +0900,bed-01,FSR0,1045.0,100
2026-09-05 18:25:20.982 +0900,bed-01,FSR1,1021.0,100
2026-09-05 18:25:20.982 +0900,bed-01,FSR2,999.0,100
2026-09-05 18:25:20.982 +0900,bed-01,FSR3,1021.0,100
2026-09-05 18:25:20.982 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:20.982 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:20.982 +0900,bed-01,BREATH,19.0,100
2026-09-05 18:25:20.982 +0900,bed-01,HEART,77.0,100
2026-09-05 18:25:20.982 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:20.982 +0900,bed-01,ACCEL_X,1236.0,100
2026-09-05 18:25:20.982 +0900,bed-01,ACCEL_Y,-216.0,100
2026-09-05 18:25:20.982 +0900,bed-01,ACCEL_Z,18112.0,100
2026-09-05 18:25:20.182 +0900,bed-01,FSR0,1045.0,100
2026-09-05 18:25:20.182 +0900,bed-01,FSR1,997.0,100
2026-09-05 18:25:20.182 +0900,bed-01,FSR2,959.0,100
2026-09-05 18:25:20.182 +0900,bed-01,FSR3,1033.0,100
2026-09-05 18:25:20.182 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:20.182 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:20.182 +0900,bed-01,BREATH,19.0,100
2026-09-05 18:25:20.182 +0900,bed-01,HEART,71.0,100
2026-09-05 18:25:20.182 +0900,bed-01,PIR,1.0,100
2026-09-05 18:25:20.182 +0900,bed-01,ACCEL_X,1180.0,100
2026-09-05 18:25:20.182 +0900,bed-01,ACCEL_Y,-324.0,100
2026-09-05 18:25:20.182 +0900,bed-01,ACCEL_Z,18172.0,100
2026-09-05 18:25:18.976 +0900,bed-01,FSR0,989.0,100
2026-09-05 18:25:18.976 +0900,bed-01,FSR1,995.0,100
2026-09-05 18:25:18.976 +0900,bed-01,FSR2,971.0,100
2026-09-05 18:25:18.976 +0900,bed-01,FSR3,979.0,100
2026-09-05 18:25:18.976 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:18.976 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:18.976 +0900,bed-01,BREATH,19.0,100
2026-09-05 18:25:18.976 +0900,bed-01,HEART,71.0,100
2026-09-05 18:25:18.976 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:18.976 +0900,bed-01,ACCEL_X,1208.0,100
2026-09-05 18:25:18.976 +0900,bed-01,ACCEL_Y,-356.0,100
2026-09-05 18:25:18.976 +0900,bed-01,ACCEL_Z,18076.0,100
2026-09-05 18:25:17.961 +0900,bed-01,FSR0,1013.0,100
2026-09-05 18:25:17.961 +0900,bed-01,FSR1,1011.0,100
2026-09-05 18:25:17.961 +0900,bed-01,FSR2,981.0,100
2026-09-05 18:25:17.961 +0900,bed-01,FSR3,978.0,100
2026-09-05 18:25:17.961 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:17.961 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:17.961 +0900,bed-01,BREATH,19.0,100
2026-09-05 18:25:17.961 +0900,bed-01,HEART,71.0,100
2026-09-05 18:25:17.961 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:17.961 +0900,bed-01,ACCEL_X,1156.0,100
2026-09-05 18:25:17.961 +0900,bed-01,ACCEL_Y,-332.0,100
2026-09-05 18:25:17.961 +0900,bed-01,ACCEL_Z,18112.0,100
2026-09-05 18:25:16.968 +0900,bed-01,FSR0,1467.0,100
2026-09-05 18:25:16.968 +0900,bed-01,FSR1,1508.0,100
2026-09-05 18:25:16.968 +0900,bed-01,FSR2,1427.0,100
2026-09-05 18:25:16.968 +0900,bed-01,FSR3,3177.0,100
2026-09-05 18:25:16.968 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:16.968 +0900,bed-01,SW420,0.0,100
